"Time (s) Run #7","Voltage, Ch A (V) Run #7","Current, Ch D (A) Run #7","Charge (C) Run #7"
2.377,,,-0.08
2.377,5.983,-0.042,
2.377,,,-0.08
2.378,5.983,-0.042,
2.378,,,-0.08
2.378,5.986,-0.042,
2.378,,,-0.08
2.379,5.986,-0.042,
2.379,,,-0.08
2.379,5.989,-0.042,
2.379,,,-0.08
2.380,5.990,-0.042,
2.380,,,-0.08
2.380,5.990,-0.042,
2.380,,,-0.08
2.381,5.991,-0.042,
2.381,,,-0.08
2.381,5.993,-0.042,
2.381,,,-0.08
2.382,5.994,-0.042,
2.382,,,-0.08
2.382,5.997,-0.042,
2.382,,,-0.08
2.383,5.997,-0.043,
2.383,,,-0.08
2.383,5.999,-0.042,
2.383,,,-0.08
2.384,6.000,-0.042,
2.384,,,-0.08
2.384,6.000,-0.042,
2.384,,,-0.08
2.385,6.002,-0.042,
2.385,,,-0.08
2.385,6.004,-0.042,
2.385,,,-0.08
2.386,6.005,-0.043,
2.386,,,-0.08
2.386,6.007,-0.042,
2.386,,,-0.08
2.387,6.008,-0.042,
2.387,,,-0.08
2.387,6.009,-0.042,
2.387,,,-0.08
2.388,6.010,-0.042,
2.388,,,-0.08
2.388,6.012,-0.042,
2.388,,,-0.08
2.389,6.014,-0.042,
2.389,,,-0.08
2.389,6.015,-0.042,
2.389,,,-0.08
2.390,6.015,-0.042,
2.390,,,-0.08
2.390,6.017,-0.042,
2.390,,,-0.08
2.391,6.016,-0.042,
2.391,,,-0.08
2.391,6.019,-0.042,
2.391,,,-0.08
2.392,6.020,-0.041,
2.392,,,-0.08
2.392,6.021,-0.042,
2.392,,,-0.08
2.393,6.024,-0.042,
2.393,,,-0.08
2.393,6.024,-0.041,
2.393,,,-0.08
2.394,6.025,-0.042,
2.394,,,-0.08
2.394,6.025,-0.041,
2.394,,,-0.08
2.395,6.027,-0.042,
2.395,,,-0.08
2.395,6.029,-0.042,
2.395,,,-0.08
2.396,6.030,-0.041,
2.396,,,-0.08
2.396,6.032,-0.042,
2.396,,,-0.08
2.397,6.031,-0.042,
2.397,,,-0.08
2.397,6.034,-0.042,
2.397,,,-0.08
2.398,6.035,-0.041,
2.398,,,-0.08
2.398,6.035,-0.042,
2.398,,,-0.08
2.399,6.040,-0.042,
2.399,,,-0.08
2.399,6.039,-0.042,
2.399,,,-0.08
2.400,6.040,-0.042,
2.400,,,-0.08
2.400,6.042,-0.042,
2.400,,,-0.08
2.401,6.041,-0.042,
2.401,,,-0.08
2.401,6.043,-0.042,
2.401,,,-0.08
2.402,6.046,-0.042,
2.402,,,-0.08
2.402,6.047,-0.042,
2.402,,,-0.08
2.403,6.050,-0.042,
2.403,,,-0.08
2.403,6.050,-0.042,
2.403,,,-0.08
2.404,6.051,-0.041,
2.404,,,-0.08
2.404,6.051,-0.042,
2.404,,,-0.08
2.405,6.052,-0.042,
2.405,,,-0.08
2.405,6.055,-0.042,
2.405,,,-0.08
2.406,6.055,-0.042,
2.406,,,-0.08
2.406,6.057,-0.042,
2.406,,,-0.08
2.407,6.057,-0.041,
2.407,,,-0.08
2.407,6.058,-0.041,
2.407,,,-0.08
2.408,6.060,-0.041,
2.408,,,-0.08
2.408,6.061,-0.041,
2.408,,,-0.08
2.409,6.064,-0.041,
2.409,,,-0.08
2.409,6.064,-0.041,
2.409,,,-0.08
2.410,6.065,-0.041,
2.410,,,-0.08
2.410,6.066,-0.041,
2.410,,,-0.08
2.411,6.066,-0.041,
2.411,,,-0.08
2.411,6.068,-0.041,
2.411,,,-0.08
2.412,6.069,-0.041,
2.412,,,-0.08
2.412,6.071,-0.041,
2.412,,,-0.08
2.413,6.073,-0.041,
2.413,,,-0.08
2.413,6.073,-0.042,
2.413,,,-0.08
2.414,6.075,-0.041,
2.414,,,-0.08
2.414,6.075,-0.041,
2.414,,,-0.08
2.415,6.077,-0.041,
2.415,,,-0.08
2.415,6.079,-0.041,
2.415,,,-0.08
2.416,6.079,-0.042,
2.416,,,-0.08
2.416,6.080,-0.041,
2.416,,,-0.08
2.417,6.082,-0.041,
2.417,,,-0.08
2.417,6.084,-0.042,
2.417,,,-0.08
2.418,6.085,-0.041,
2.418,,,-0.08
2.418,6.088,-0.041,
2.418,,,-0.08
2.419,6.087,-0.042,
2.419,,,-0.08
2.419,6.090,-0.041,
2.419,,,-0.08
2.420,6.090,-0.042,
2.420,,,-0.08
2.420,6.091,-0.041,
2.420,,,-0.08
2.421,6.092,-0.041,
2.421,,,-0.08
2.421,6.094,-0.041,
2.421,,,-0.08
2.422,6.094,-0.041,
2.422,,,-0.08
2.422,6.097,-0.041,
2.422,,,-0.08
2.423,6.096,-0.041,
2.423,,,-0.08
2.423,6.098,-0.041,
2.423,,,-0.08
2.424,6.099,-0.041,
2.424,,,-0.08
2.424,6.101,-0.041,
2.424,,,-0.08
2.425,6.103,-0.041,
2.425,,,-0.08
2.425,6.104,-0.041,
2.425,,,-0.08
2.426,6.105,-0.041,
2.426,,,-0.08
2.426,6.105,-0.041,
2.426,,,-0.08
2.427,6.106,-0.041,
2.427,,,-0.08
2.427,6.108,-0.041,
2.427,,,-0.08
2.428,6.109,-0.041,
2.428,,,-0.08
2.428,6.110,-0.041,
2.428,,,-0.08
2.429,6.111,-0.041,
2.429,,,-0.08
2.429,6.113,-0.040,
2.429,,,-0.08
2.430,6.114,-0.041,
2.430,,,-0.08
2.430,6.115,-0.041,
2.430,,,-0.08
2.431,6.116,-0.041,
2.431,,,-0.08
2.431,6.118,-0.041,
2.431,,,-0.08
2.432,6.120,-0.041,
2.432,,,-0.08
2.432,6.118,-0.041,
2.432,,,-0.08
2.433,6.121,-0.041,
2.433,,,-0.08
2.433,6.123,-0.041,
2.433,,,-0.08
2.434,6.124,-0.041,
2.434,,,-0.08
2.434,6.126,-0.041,
2.434,,,-0.08
2.435,6.125,-0.041,
2.435,,,-0.08
2.435,6.127,-0.041,
2.435,,,-0.08
2.436,6.129,-0.041,
2.436,,,-0.08
2.436,6.130,-0.041,
2.436,,,-0.08
2.437,6.131,-0.041,
2.437,,,-0.08
2.437,6.133,-0.041,
2.437,,,-0.08
2.438,6.135,-0.041,
2.438,,,-0.08
2.438,6.134,-0.041,
2.438,,,-0.08
2.439,6.137,-0.041,
2.439,,,-0.08
2.439,6.138,-0.041,
2.439,,,-0.08
2.440,6.137,-0.041,
2.440,,,-0.08
2.440,6.139,-0.040,
2.440,,,-0.08
2.441,6.142,-0.041,
2.441,,,-0.08
2.441,6.143,-0.040,
2.441,,,-0.08
2.442,6.144,-0.041,
2.442,,,-0.08
2.442,6.145,-0.040,
2.442,,,-0.08
2.443,6.146,-0.040,
2.443,,,-0.08
2.443,6.147,-0.040,
2.443,,,-0.08
2.444,6.147,-0.040,
2.444,,,-0.08
2.444,6.150,-0.040,
2.444,,,-0.08
2.445,6.150,-0.040,
2.445,,,-0.08
2.445,6.151,-0.040,
2.445,,,-0.08
2.446,6.153,-0.040,
2.446,,,-0.08
2.446,6.153,-0.040,
2.446,,,-0.08
2.447,6.155,-0.041,
2.447,,,-0.08
2.447,6.158,-0.040,
2.447,,,-0.08
2.448,6.157,-0.041,
2.448,,,-0.08
2.448,6.160,-0.040,
2.448,,,-0.08
2.449,6.159,-0.040,
2.449,,,-0.08
2.449,6.161,-0.041,
2.449,,,-0.08
2.450,6.163,-0.041,
2.450,,,-0.08
2.450,6.165,-0.041,
2.450,,,-0.08
2.451,6.165,-0.041,
2.451,,,-0.08
2.451,6.166,-0.041,
2.451,,,-0.08
2.452,6.169,-0.041,
2.452,,,-0.08
2.452,6.169,-0.041,
2.452,,,-0.08
2.453,6.169,-0.041,
2.453,,,-0.08
2.453,6.172,-0.041,
2.453,,,-0.08
2.454,6.172,-0.041,
2.454,,,-0.08
2.454,6.175,-0.040,
2.454,,,-0.08
2.455,6.175,-0.041,
2.455,,,-0.08
2.455,6.177,-0.040,
2.455,,,-0.08
2.456,6.177,-0.040,
2.456,,,-0.08
2.456,6.178,-0.040,
2.456,,,-0.08
2.457,6.180,-0.040,
2.457,,,-0.08
2.457,6.182,-0.041,
2.457,,,-0.08
2.458,6.183,-0.040,
2.458,,,-0.08
2.458,6.183,-0.040,
2.458,,,-0.08
2.459,6.184,-0.040,
2.459,,,-0.08
2.459,6.186,-0.040,
2.459,,,-0.08
2.460,6.186,-0.040,
2.460,,,-0.08
2.460,6.189,-0.040,
2.460,,,-0.08
2.461,6.188,-0.040,
2.461,,,-0.08
2.461,6.190,-0.040,
2.461,,,-0.08
2.462,6.192,-0.040,
2.462,,,-0.08
2.462,6.193,-0.040,
2.462,,,-0.08
2.463,6.193,-0.040,
2.463,,,-0.08
2.463,6.194,-0.040,
2.463,,,-0.08
2.464,6.197,-0.040,
2.464,,,-0.08
2.464,6.198,-0.041,
2.464,,,-0.08
2.465,6.199,-0.040,
2.465,,,-0.08
2.465,6.200,-0.040,
2.465,,,-0.08
2.466,6.201,-0.040,
2.466,,,-0.08
2.466,6.202,-0.040,
2.466,,,-0.08
2.467,6.203,-0.040,
2.467,,,-0.08
2.467,6.205,-0.040,
2.467,,,-0.08
2.468,6.207,-0.040,
2.468,,,-0.08
2.468,6.206,-0.040,
2.468,,,-0.08
2.469,6.208,-0.040,
2.469,,,-0.08
2.469,6.210,-0.040,
2.469,,,-0.08
2.470,6.212,-0.040,
2.470,,,-0.08
2.470,6.212,-0.040,
2.470,,,-0.08
2.471,6.215,-0.040,
2.471,,,-0.08
2.471,6.215,-0.040,
2.471,,,-0.08
2.472,6.214,-0.040,
2.472,,,-0.08
2.472,6.216,-0.040,
2.472,,,-0.08
2.473,6.217,-0.040,
2.473,,,-0.08
2.473,6.221,-0.040,
2.473,,,-0.08
2.474,6.221,-0.040,
2.474,,,-0.08
2.474,6.222,-0.040,
2.474,,,-0.08
2.475,6.223,-0.039,
2.475,,,-0.08
2.475,6.223,-0.039,
2.475,,,-0.08
2.476,6.225,-0.039,
2.476,,,-0.08
2.476,6.228,-0.040,
2.476,,,-0.08
2.477,6.227,-0.040,
2.477,,,-0.08
2.477,6.230,-0.039,
2.477,,,-0.08
2.478,6.230,-0.039,
2.478,,,-0.08
2.478,6.229,-0.039,
2.478,,,-0.08
2.479,6.231,-0.040,
2.479,,,-0.08
2.479,6.232,-0.040,
2.479,,,-0.08
2.480,6.234,-0.040,
2.480,,,-0.08
2.480,6.236,-0.039,
2.480,,,-0.08
2.481,6.238,-0.039,
2.481,,,-0.08
2.481,6.238,-0.040,
2.481,,,-0.08
2.482,6.240,-0.040,
2.482,,,-0.08
2.482,6.241,-0.040,
2.482,,,-0.08
2.483,6.241,-0.040,
2.483,,,-0.08
2.483,6.243,-0.040,
2.483,,,-0.08
2.484,6.244,-0.040,
2.484,,,-0.08
2.484,6.245,-0.040,
2.484,,,-0.08
2.485,6.247,-0.040,
2.485,,,-0.08
2.485,6.246,-0.040,
2.485,,,-0.08
2.486,6.249,-0.040,
2.486,,,-0.08
2.486,6.249,-0.040,
2.486,,,-0.08
2.487,6.250,-0.040,
2.487,,,-0.08
2.487,6.253,-0.040,
2.487,,,-0.08
2.488,6.254,-0.040,
2.488,,,-0.08
2.488,6.254,-0.040,
2.488,,,-0.08
2.489,6.255,-0.040,
2.489,,,-0.08
2.489,6.256,-0.040,
2.489,,,-0.08
2.490,6.259,-0.039,
2.490,,,-0.08
2.490,6.259,-0.039,
2.490,,,-0.08
2.491,6.261,-0.040,
2.491,,,-0.08
2.491,6.262,-0.039,
2.491,,,-0.08
2.492,6.263,-0.039,
2.492,,,-0.08
2.492,6.263,-0.039,
2.492,,,-0.08
2.493,6.265,-0.039,
2.493,,,-0.08
2.493,6.266,-0.039,
2.493,,,-0.08
2.494,6.267,-0.039,
2.494,,,-0.08
2.494,6.269,-0.039,
2.494,,,-0.08
2.495,6.269,-0.039,
2.495,,,-0.08
2.495,6.271,-0.039,
2.495,,,-0.08
2.496,6.271,-0.039,
2.496,,,-0.08
2.496,6.274,-0.039,
2.496,,,-0.08
2.497,6.274,-0.039,
2.497,,,-0.08
2.497,6.275,-0.039,
2.497,,,-0.08
2.498,6.277,-0.039,
2.498,,,-0.08
2.498,6.277,-0.039,
2.498,,,-0.08
2.499,6.279,-0.039,
2.499,,,-0.08
2.499,6.281,-0.039,
2.499,,,-0.08
2.500,6.281,-0.039,
2.500,,,-0.08
2.500,6.284,-0.040,
2.500,,,-0.08
2.501,6.284,-0.040,
2.501,,,-0.08
2.501,6.284,-0.039,
2.501,,,-0.08
2.502,6.287,-0.040,
2.502,,,-0.08
2.502,6.287,-0.040,
2.502,,,-0.08
2.503,6.288,-0.039,
2.503,,,-0.08
2.503,6.289,-0.040,
2.503,,,-0.08
2.504,6.291,-0.039,
2.504,,,-0.08
2.504,6.293,-0.039,
2.504,,,-0.08
2.505,6.293,-0.040,
2.505,,,-0.08
2.505,6.295,-0.039,
2.505,,,-0.08
2.506,6.296,-0.039,
2.506,,,-0.08
2.506,6.297,-0.039,
2.506,,,-0.08
2.507,6.298,-0.039,
2.507,,,-0.08
2.507,6.298,-0.039,
2.507,,,-0.08
2.508,6.300,-0.038,
2.508,,,-0.08
2.508,6.302,-0.039,
2.508,,,-0.08
2.509,6.302,-0.039,
2.509,,,-0.08
2.509,6.303,-0.039,
2.509,,,-0.08
2.510,6.305,-0.039,
2.510,,,-0.08
2.510,6.307,-0.039,
2.510,,,-0.08
2.511,6.306,-0.039,
2.511,,,-0.08
2.511,6.308,-0.039,
2.511,,,-0.08
2.512,6.307,-0.039,
2.512,,,-0.08
2.512,6.309,-0.039,
2.512,,,-0.08
2.513,6.311,-0.039,
2.513,,,-0.08
2.513,6.313,-0.039,
2.513,,,-0.08
2.514,6.315,-0.039,
2.514,,,-0.08
2.514,6.314,-0.039,
2.514,,,-0.08
2.515,6.318,-0.039,
2.515,,,-0.08
2.515,6.317,-0.038,
2.515,,,-0.08
2.516,6.319,-0.039,
2.516,,,-0.08
2.516,6.320,-0.040,
2.516,,,-0.08
2.517,6.321,-0.039,
2.517,,,-0.08
2.517,6.323,-0.039,
2.517,,,-0.08
2.518,6.323,-0.039,
2.518,,,-0.08
2.518,6.325,-0.039,
2.518,,,-0.08
2.519,6.327,-0.039,
2.519,,,-0.08
2.519,6.327,-0.039,
2.519,,,-0.08
2.520,6.328,-0.039,
2.520,,,-0.08
2.520,6.331,-0.039,
2.520,,,-0.08
2.521,6.329,-0.039,
2.521,,,-0.08
2.521,6.332,-0.039,
2.521,,,-0.08
2.522,6.333,-0.039,
2.522,,,-0.08
2.522,6.333,-0.039,
2.522,,,-0.08
2.523,6.335,-0.039,
2.523,,,-0.08
2.523,6.336,-0.039,
2.523,,,-0.08
2.524,6.338,-0.039,
2.524,,,-0.08
2.524,6.340,-0.038,
2.524,,,-0.08
2.525,6.339,-0.038,
2.525,,,-0.08
2.525,6.342,-0.038,
2.525,,,-0.08
2.526,6.342,-0.038,
2.526,,,-0.08
2.526,6.342,-0.038,
2.526,,,-0.08
2.527,6.344,-0.038,
2.527,,,-0.08
2.527,6.344,-0.038,
2.527,,,-0.08
2.528,6.346,-0.038,
2.528,,,-0.08
2.528,6.347,-0.038,
2.528,,,-0.08
2.529,6.348,-0.038,
2.529,,,-0.08
2.529,6.349,-0.038,
2.529,,,-0.08
2.530,6.351,-0.039,
2.530,,,-0.08
2.530,6.353,-0.039,
2.530,,,-0.08
2.531,6.353,-0.038,
2.531,,,-0.08
2.531,6.355,-0.039,
2.531,,,-0.08
2.532,6.355,-0.039,
2.532,,,-0.08
2.532,6.356,-0.039,
2.532,,,-0.08
2.533,6.358,-0.039,
2.533,,,-0.08
2.533,6.359,-0.039,
2.533,,,-0.08
2.534,6.361,-0.039,
2.534,,,-0.08
2.534,6.362,-0.039,
2.534,,,-0.08
2.535,6.363,-0.039,
2.535,,,-0.08
2.535,6.364,-0.039,
2.535,,,-0.08
2.536,6.365,-0.039,
2.536,,,-0.08
2.536,6.367,-0.039,
2.536,,,-0.08
2.537,6.368,-0.039,
2.537,,,-0.08
2.537,6.369,-0.039,
2.537,,,-0.08
2.538,6.370,-0.039,
2.538,,,-0.08
2.538,6.370,-0.038,
2.538,,,-0.08
2.539,6.372,-0.038,
2.539,,,-0.08
2.539,6.373,-0.039,
2.539,,,-0.08
2.540,6.374,-0.038,
2.540,,,-0.08
2.540,6.376,-0.038,
2.540,,,-0.08
2.541,6.376,-0.038,
2.541,,,-0.08
2.541,6.378,-0.038,
2.541,,,-0.08
2.542,6.379,-0.038,
2.542,,,-0.08
2.542,6.379,-0.038,
2.542,,,-0.08
2.543,6.381,-0.038,
2.543,,,-0.08
2.543,6.382,-0.038,
2.543,,,-0.08
2.544,6.382,-0.038,
2.544,,,-0.08
2.544,6.383,-0.038,
2.544,,,-0.08
2.545,6.384,-0.038,
2.545,,,-0.08
2.545,6.386,-0.038,
2.545,,,-0.08
2.546,6.388,-0.038,
2.546,,,-0.08
2.546,6.390,-0.038,
2.546,,,-0.08
2.547,6.389,-0.038,
2.547,,,-0.08
2.547,6.391,-0.038,
2.547,,,-0.08
2.548,6.391,-0.038,
2.548,,,-0.08
2.548,6.392,-0.038,
2.548,,,-0.08
2.549,6.394,-0.038,
2.549,,,-0.08
2.549,6.395,-0.038,
2.549,,,-0.08
2.550,6.396,-0.038,
2.550,,,-0.08
2.550,6.398,-0.038,
2.550,,,-0.08
2.551,6.399,-0.038,
2.551,,,-0.08
2.551,6.400,-0.038,
2.551,,,-0.08
2.552,6.401,-0.038,
2.552,,,-0.08
2.552,6.402,-0.039,
2.552,,,-0.08
2.553,6.404,-0.038,
2.553,,,-0.09
2.553,6.406,-0.038,
2.553,,,-0.09
2.554,6.405,-0.038,
2.554,,,-0.09
2.554,6.407,-0.038,
2.554,,,-0.09
2.555,6.407,-0.038,
2.555,,,-0.09
2.555,6.409,-0.038,
2.555,,,-0.09
2.556,6.411,-0.038,
2.556,,,-0.09
2.556,6.411,-0.038,
2.556,,,-0.09
2.557,6.413,-0.038,
2.557,,,-0.09
2.557,6.414,-0.038,
2.557,,,-0.09
2.558,6.415,-0.037,
2.558,,,-0.09
2.558,6.415,-0.038,
2.558,,,-0.09
2.559,6.416,-0.038,
2.559,,,-0.09
2.559,6.417,-0.038,
2.559,,,-0.09
2.560,6.421,-0.037,
2.560,,,-0.09
2.560,6.419,-0.038,
2.560,,,-0.09
2.561,6.420,-0.037,
2.561,,,-0.09
2.561,6.421,-0.037,
2.561,,,-0.09
2.562,6.422,-0.038,
2.562,,,-0.09
2.562,6.425,-0.037,
2.562,,,-0.09
2.563,6.426,-0.037,
2.563,,,-0.09
2.563,6.427,-0.038,
2.563,,,-0.09
2.564,6.427,-0.038,
2.564,,,-0.09
2.564,6.429,-0.037,
2.564,,,-0.09
2.565,6.430,-0.038,
2.565,,,-0.09
2.565,6.432,-0.038,
2.565,,,-0.09
2.566,6.433,-0.038,
2.566,,,-0.09
2.566,6.434,-0.038,
2.566,,,-0.09
2.567,6.434,-0.038,
2.567,,,-0.09
2.567,6.435,-0.038,
2.567,,,-0.09
2.568,6.437,-0.038,
2.568,,,-0.09
2.568,6.438,-0.038,
2.568,,,-0.09
2.569,6.439,-0.038,
2.569,,,-0.09
2.569,6.442,-0.038,
2.569,,,-0.09
2.570,6.441,-0.038,
2.570,,,-0.09
2.570,6.444,-0.038,
2.570,,,-0.09
2.571,6.444,-0.038,
2.571,,,-0.09
2.571,6.444,-0.037,
2.571,,,-0.09
2.572,6.446,-0.038,
2.572,,,-0.09
2.572,6.447,-0.038,
2.572,,,-0.09
2.573,6.449,-0.037,
2.573,,,-0.09
2.573,6.450,-0.037,
2.573,,,-0.09
2.574,6.451,-0.037,
2.574,,,-0.09
2.574,6.450,-0.038,
2.574,,,-0.09
2.575,6.453,-0.037,
2.575,,,-0.09
2.575,6.454,-0.037,
2.575,,,-0.09
2.576,6.455,-0.037,
2.576,,,-0.09
2.576,6.457,-0.037,
2.576,,,-0.09
2.577,6.457,-0.037,
2.577,,,-0.09
2.577,6.457,-0.037,
2.577,,,-0.09
2.578,6.459,-0.037,
2.578,,,-0.09
2.578,6.460,-0.037,
2.578,,,-0.09
2.579,6.460,-0.037,
2.579,,,-0.09
2.579,6.463,-0.037,
2.579,,,-0.09
2.580,6.464,-0.037,
2.580,,,-0.09
2.580,6.465,-0.037,
2.580,,,-0.09
2.581,6.465,-0.037,
2.581,,,-0.09
2.581,6.466,-0.038,
2.581,,,-0.09
2.582,6.468,-0.037,
2.582,,,-0.09
2.582,6.470,-0.038,
2.582,,,-0.09
2.583,6.470,-0.038,
2.583,,,-0.09
2.583,6.471,-0.038,
2.583,,,-0.09
2.584,6.472,-0.038,
2.584,,,-0.09
2.584,6.472,-0.038,
2.584,,,-0.09
2.585,6.475,-0.038,
2.585,,,-0.09
2.585,6.477,-0.038,
2.585,,,-0.09
2.586,6.477,-0.038,
2.586,,,-0.09
2.586,6.479,-0.038,
2.586,,,-0.09
2.587,6.478,-0.038,
2.587,,,-0.09
2.587,6.480,-0.037,
2.587,,,-0.09
2.588,6.481,-0.038,
2.588,,,-0.09
2.588,6.483,-0.037,
2.588,,,-0.09
2.589,6.484,-0.037,
2.589,,,-0.09
2.589,6.484,-0.037,
2.589,,,-0.09
2.590,6.486,-0.037,
2.590,,,-0.09
2.590,6.486,-0.037,
2.590,,,-0.09
2.591,6.486,-0.037,
2.591,,,-0.09
2.591,6.488,-0.037,
2.591,,,-0.09
2.592,6.490,-0.037,
2.592,,,-0.09
2.592,6.492,-0.037,
2.592,,,-0.09
2.593,6.492,-0.037,
2.593,,,-0.09
2.593,6.494,-0.037,
2.593,,,-0.09
2.594,6.494,-0.037,
2.594,,,-0.09
2.594,6.493,-0.037,
2.594,,,-0.09
2.595,6.496,-0.037,
2.595,,,-0.09
2.595,6.497,-0.037,
2.595,,,-0.09
2.596,6.498,-0.037,
2.596,,,-0.09
2.596,6.500,-0.037,
2.596,,,-0.09
2.597,6.499,-0.037,
2.597,,,-0.09
2.597,6.503,-0.037,
2.597,,,-0.09
2.598,6.502,-0.037,
2.598,,,-0.09
2.598,6.505,-0.037,
2.598,,,-0.09
2.599,6.506,-0.037,
2.599,,,-0.09
2.599,6.507,-0.037,
2.599,,,-0.09
2.600,6.508,-0.037,
2.600,,,-0.09
2.600,6.508,-0.037,
2.600,,,-0.09
2.601,6.510,-0.037,
2.601,,,-0.09
2.601,6.510,-0.037,
2.601,,,-0.09
2.602,6.513,-0.037,
2.602,,,-0.09
2.602,6.514,-0.037,
2.602,,,-0.09
2.603,6.515,-0.037,
2.603,,,-0.09
2.603,6.516,-0.037,
2.603,,,-0.09
2.604,6.516,-0.037,
2.604,,,-0.09
2.604,6.518,-0.037,
2.604,,,-0.09
2.605,6.518,-0.037,
2.605,,,-0.09
2.605,6.520,-0.037,
2.605,,,-0.09
2.606,6.521,-0.037,
2.606,,,-0.09
2.606,6.523,-0.037,
2.606,,,-0.09
2.607,6.525,-0.036,
2.607,,,-0.09
2.607,6.524,-0.037,
2.607,,,-0.09
2.608,6.525,-0.036,
2.608,,,-0.09
2.608,6.526,-0.036,
2.608,,,-0.09
2.609,6.527,-0.037,
2.609,,,-0.09
2.609,6.529,-0.037,
2.609,,,-0.09
2.610,6.530,-0.036,
2.610,,,-0.09
2.610,6.530,-0.036,
2.610,,,-0.09
2.611,6.530,-0.036,
2.611,,,-0.09
2.611,6.531,-0.036,
2.611,,,-0.09
2.612,6.534,-0.037,
2.612,,,-0.09
2.612,6.536,-0.037,
2.612,,,-0.09
2.613,6.536,-0.037,
2.613,,,-0.09
2.613,6.536,-0.037,
2.613,,,-0.09
2.614,6.537,-0.036,
2.614,,,-0.09
2.614,6.538,-0.037,
2.614,,,-0.09
2.615,6.540,-0.037,
2.615,,,-0.09
2.615,6.541,-0.037,
2.615,,,-0.09
2.616,6.543,-0.037,
2.616,,,-0.09
2.616,6.543,-0.037,
2.616,,,-0.09
2.617,6.544,-0.037,
2.617,,,-0.09
2.617,6.544,-0.037,
2.617,,,-0.09
2.618,6.547,-0.037,
2.618,,,-0.09
2.618,6.548,-0.037,
2.618,,,-0.09
2.619,6.550,-0.037,
2.619,,,-0.09
2.619,6.552,-0.037,
2.619,,,-0.09
2.620,6.552,-0.037,
2.620,,,-0.09
2.620,6.553,-0.037,
2.620,,,-0.09
2.621,6.552,-0.037,
2.621,,,-0.09
2.621,6.554,-0.037,
2.621,,,-0.09
2.622,6.556,-0.037,
2.622,,,-0.09
2.622,6.556,-0.037,
2.622,,,-0.09
2.623,6.558,-0.036,
2.623,,,-0.09
2.623,6.559,-0.036,
2.623,,,-0.09
2.624,6.560,-0.036,
2.624,,,-0.09
2.624,6.562,-0.036,
2.624,,,-0.09
2.625,6.563,-0.036,
2.625,,,-0.09
2.625,6.564,-0.036,
2.625,,,-0.09
2.626,6.564,-0.036,
2.626,,,-0.09
2.626,6.566,-0.036,
2.626,,,-0.09
2.627,6.566,-0.036,
2.627,,,-0.09
2.627,6.567,-0.036,
2.627,,,-0.09
2.628,6.567,-0.036,
2.628,,,-0.09
2.628,6.569,-0.036,
2.628,,,-0.09
2.629,6.571,-0.036,
2.629,,,-0.09
2.629,6.571,-0.036,
2.629,,,-0.09
2.630,6.572,-0.036,
2.630,,,-0.09
2.630,6.573,-0.036,
2.630,,,-0.09
2.631,6.574,-0.037,
2.631,,,-0.09
2.631,6.576,-0.036,
2.631,,,-0.09
2.632,6.577,-0.036,
2.632,,,-0.09
2.632,6.578,-0.036,
2.632,,,-0.09
2.633,6.579,-0.036,
2.633,,,-0.09
2.633,6.580,-0.036,
2.633,,,-0.09
2.634,6.581,-0.037,
2.634,,,-0.09
2.634,6.581,-0.036,
2.634,,,-0.09
2.635,6.583,-0.037,
2.635,,,-0.09
2.635,6.585,-0.037,
2.635,,,-0.09
2.636,6.587,-0.037,
2.636,,,-0.09
2.636,6.588,-0.036,
2.636,,,-0.09
2.637,6.588,-0.036,
2.637,,,-0.09
2.637,6.588,-0.036,
2.637,,,-0.09
2.638,6.590,-0.036,
2.638,,,-0.09
2.638,6.591,-0.036,
2.638,,,-0.09
2.639,6.593,-0.036,
2.639,,,-0.09
2.639,6.594,-0.036,
2.639,,,-0.09
2.640,6.594,-0.036,
2.640,,,-0.09
2.640,6.594,-0.036,
2.640,,,-0.09
2.641,6.597,-0.036,
2.641,,,-0.09
2.641,6.597,-0.036,
2.641,,,-0.09
2.642,6.598,-0.036,
2.642,,,-0.09
2.642,6.599,-0.036,
2.642,,,-0.09
2.643,6.601,-0.036,
2.643,,,-0.09
2.643,6.601,-0.036,
2.643,,,-0.09
2.644,6.602,-0.036,
2.644,,,-0.09
2.644,6.602,-0.036,
2.644,,,-0.09
2.645,6.603,-0.036,
2.645,,,-0.09
2.645,6.606,-0.036,
2.645,,,-0.09
2.646,6.607,-0.036,
2.646,,,-0.09
2.646,6.608,-0.036,
2.646,,,-0.09
2.647,6.609,-0.036,
2.647,,,-0.09
2.647,6.608,-0.036,
2.647,,,-0.09
2.648,6.611,-0.036,
2.648,,,-0.09
2.648,6.612,-0.036,
2.648,,,-0.09
2.649,6.614,-0.036,
2.649,,,-0.09
2.649,6.614,-0.036,
2.649,,,-0.09
2.650,6.614,-0.037,
2.650,,,-0.09
2.650,6.616,-0.036,
2.650,,,-0.09
2.651,6.616,-0.036,
2.651,,,-0.09
2.651,6.618,-0.036,
2.651,,,-0.09
2.652,6.620,-0.036,
2.652,,,-0.09
2.652,6.620,-0.036,
2.652,,,-0.09
2.653,6.623,-0.036,
2.653,,,-0.09
2.653,6.623,-0.036,
2.653,,,-0.09
2.654,6.623,-0.036,
2.654,,,-0.09
2.654,6.625,-0.036,
2.654,,,-0.09
2.655,6.626,-0.035,
2.655,,,-0.09
2.655,6.627,-0.036,
2.655,,,-0.09
